"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6TSe2k1OyUiNLEl5IBNrd7","Killing Me","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","spotify:album:0MM5hDVs7QreQVGTi1hkJd","Tamagotchi","spotify:artist:5FxD8fkQZ6KcsSYupDVoSO","Omar Apollo","2022-03-23","https://i.scdn.co/image/ab67616d0000b273f0a917120945470c09f7fe04","1","2","165320","","true","1","spotify:user:rileybrady0","2022-03-26T21:00:22Z"
"spotify:track:7hzgk557YLr0722EFkmp9Z","Feel Like Makin' Love","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","spotify:album:2lO9yuuIDgBpSJzxTh3ai8","Voodoo","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","2000-01-01","https://i.scdn.co/image/ab67616d0000b2732b3dc336a7a69293c25d9ade","1","10","382333","https://p.scdn.co/mp3-preview/b9a6846036d2745751a550f56c3a93f9565d25f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:rileybrady0","2022-03-28T14:25:28Z"
"spotify:track:4KdHmcUVArJeN7XPjp6Czx","One Mo'Gin","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","spotify:album:2lO9yuuIDgBpSJzxTh3ai8","Voodoo","spotify:artist:336vr2M3Va0FjyvB55lJEd","D'Angelo","2000-01-01","https://i.scdn.co/image/ab67616d0000b2732b3dc336a7a69293c25d9ade","1","7","373026","https://p.scdn.co/mp3-preview/c50d23ec312107188bef8a893ac87fe4f92b9654?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:rileybrady0","2022-03-28T14:31:21Z"
"spotify:track:6GRhuQjqK3QtEKaZ1ftOnl","30yrsold","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","Knxwledge","spotify:album:2Iae3wlkxCZpyiTj5lCCjh","MeekVol1","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","Knxwledge","2017-11-26","https://i.scdn.co/image/ab67616d0000b2737ec013a2bc555a68adf241d9","1","7","52088","https://p.scdn.co/mp3-preview/953c93f68f426a606beb8f5dcfc43e4ac85932c7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","spotify:user:rileybrady0","2022-03-31T19:17:22Z"
"spotify:track:4qu0lhULYMZgDcgVL00Jk0","Greener","spotify:artist:2FwDTncULUnmANIh7qKa5z, spotify:artist:6GI52t8N5F02MxU0g5U69P","FKJ, Santana","spotify:album:5B6Ueggpe856IOUWSuVAPW","Greener","spotify:artist:2FwDTncULUnmANIh7qKa5z, spotify:artist:6GI52t8N5F02MxU0g5U69P","FKJ, Santana","2022-04-07","https://i.scdn.co/image/ab67616d0000b2737280c4b1de5607cece5fa27e","1","1","234213","https://p.scdn.co/mp3-preview/a1ef4400998f29e7e02f1a5d8a859c2ebffda6b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:rileybrady0","2022-04-10T15:59:16Z"
"spotify:track:6B2RPIeLqJyzZpR4334BWk","That Girl","spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Pharrell Williams, Snoop Dogg","spotify:album:226ds4GXn0ih3wZV7DZvl4","In My Mind","spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pharrell Williams","2006","https://i.scdn.co/image/ab67616d0000b273550ce01b88afd25db9bb82a7","1","7","241026","","true","0","spotify:user:rileybrady0","2022-04-12T15:09:27Z"
"spotify:track:2k9N4caeCIJLOWwWwssrEM","Easily","spotify:artist:0hDjKSKjl1DC7ovYTDJHe8","Bruno Major","spotify:album:5UFBJXQtytWA9vfaO2DxLx","A Song For Every Moon","spotify:artist:0hDjKSKjl1DC7ovYTDJHe8","Bruno Major","2017-08-31","https://i.scdn.co/image/ab67616d0000b273e6dfaed2104e0512b7f22256","1","4","210240","","false","70","spotify:user:rileybrady0","2022-04-13T18:27:05Z"
"spotify:track:5dXWFMwD7I7zXsInONVl0H","I Hate U","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:1hJUh5y1ggqqGsCivnRmHw","I Hate U","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2021-12-03","https://i.scdn.co/image/ab67616d0000b2732cb5c3a1013e6be7084da957","1","1","174000","https://p.scdn.co/mp3-preview/2341ad886e3541e117709ffce5a6b960b1ed7f39?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","spotify:user:rileybrady0","2022-04-13T18:28:13Z"
"spotify:track:0336UwEBwBBao8uWCuugYr","Anything","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","SZA","2017-06-09","https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25","1","10","149320","https://p.scdn.co/mp3-preview/8468a4b71fa5ea03b6b077a7ceb6862e6dbf3c0f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:rileybrady0","2022-04-13T18:28:52Z"
"spotify:track:3QRQwnaENDNslrc5tNUGgE","Lava Lamp","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","Thundercat","spotify:album:7vHBQDqwzB7uDvoE5bncMM","Drunk","spotify:artist:4frXpPxQQZwbCu3eTGnZEw","Thundercat","2017-02-24","https://i.scdn.co/image/ab67616d0000b27385c5e6c686ced3e43bae2748","1","6","178569","https://p.scdn.co/mp3-preview/2ac84e9c7b81074e332502f6bf215477b6742a6b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:rileybrady0","2022-04-13T18:30:56Z"
"spotify:track:0SA0mMXWh23raZ6xzOCU2V","She","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:2h93pZq0e7k5yf4dywlkpM","Tyler\, The Creator, Frank Ocean","spotify:album:5dbCm8qaCdWnNdVyi3urUO","Goblin","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Tyler\, The Creator","2011-05-09","https://i.scdn.co/image/ab67616d0000b27328ae9a159d24cb0ab2552712","1","4","253386","https://p.scdn.co/mp3-preview/4d2677b47bb99fc09ebf04f57fd08459245602d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:rileybrady0","2022-04-13T18:31:23Z"
"spotify:track:5lZ6f9AO0OrwsdFyQAfKqV","Self Love","spotify:artist:1peoXq0RPx7czVoFjloeDQ","MAVI","spotify:album:1RU8i9ISNQ52Vs8msq30C1","Let the Sun Talk","spotify:artist:1peoXq0RPx7czVoFjloeDQ","MAVI","2019-10-18","https://i.scdn.co/image/ab67616d0000b273655aaf07642a3042adb4ae89","1","4","307687","https://p.scdn.co/mp3-preview/5403b27696889b6ab1a09b91982a32d56bbb5928?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:rileybrady0","2022-04-13T18:35:56Z"
